Youtube Link,Video Title,Human summary,T5 summary,T5 evaluation,spaCy summary,spaCy evaluation
https://www.youtube.com/watch?v=6VZfeexme4c,North Korean leader Kim Jong Un enters Russia to visit President Putin - BBC News,"North Korea's leader Kim Jong Un has crossed the border into Russia for a meeting with President Vladimir Putin. They are likely to discuss an arms deal as Russia faces a Ukrainian counter offensive, a US official said. South Korea's defence ministry confirmed that Mr Kim's armoured train entered Russia early on Tuesday morning.","Reports: Kim Jong-un's train entered Russia on his way to meet with President Putin. Mr Kim is believed to be meeting to finalize an arms deal with Russia. North Korea has become increasingly isolated, according to reports.","{'rouge1': 0.4583333333333333, 'rouge2': 0.19148936170212766, 'rougeL': 0.2708333333333333, 'rougeLsum': 0.2708333333333333}","but it's also thought that Mr Kim might ask in return for these weapons, might ask Mr Putin to hand over sensitive weapons technology that he could then use to make breakthroughs in his own nuclear weapons program, though this isn't something that officials here are especially concerned about. it's taking place in Vladivostok and, according to the Kremlin, at the meeting with Kim Jong-un, will be taking place at the conclusion of that event.","{'rouge1': 0.22058823529411767, 'rouge2': 0.07462686567164178, 'rougeL': 0.10294117647058823, 'rougeLsum': 0.10294117647058823}"
https://www.youtube.com/watch?v=bFZHLYLzJ-Q,US President Joe Biden's son Hunter indicted on federal gun charges - BBC News,"President Biden's son Hunter has been criminally charged with three counts of lying when buying a firearm, after efforts to reach a plea deal failed. The indictment marks the first time the child of a sitting president has been criminally prosecuted. A planned plea bargain to resolve gun and tax-related charges he faced abruptly fell apart in July.","Hunter Biden, the son of US President Joe Biden, was criminally indicted today. He faces three criminal counts related to his possession of a firearm. The charges were filed in a US District Court in Delaware.","{'rouge1': 0.3958333333333333, 'rouge2': 0.0425531914893617, 'rougeL': 0.22916666666666663, 'rougeLsum': 0.22916666666666663}","one of the key stumbling blocks was that Mr Biden's legal team said that he wouldn't have been pleading guilty to the tax cheat charges if it wasn't for the fact that he was promised to deal by prosecutors that eventually, the Firearms charge would be dismissed- not completely and totally, but he'd escape a felony conviction because he'd enter what the US court system calls a diversion agreement where, essentially, he would admit the charge go under various terms of- on the 26th of July, the case in court collapsed- plea deal that would have seen Joe Biden's son, Hunter, admitting to two tax cheating charges- not paying tax essentially on 1.5 million dollars of income in 2017 and 2018 when he was asked about the plea deal in court.","{'rouge1': 0.24242424242424243, 'rouge2': 0.04081632653061224, 'rougeL': 0.15151515151515152, 'rougeLsum': 0.15151515151515152}"
https://www.youtube.com/watch?v=3tKpbsHe1NQ,Russia pilot tried to shoot down RAF aircraft in 2022 - BBC News,"A Russian pilot tried to shoot down an RAF surveillance plane after believing he had permission to fire, the BBC has learned. The pilot fired two missiles, the first of which missed rather than malfunctioned as claimed at the time. Russia had claimed the incident last September was caused by a ""technical malfunction"". The UK's Ministry of Defence (MoD) publicly accepted the Russian explanation. But now three senior Western defence sources, with knowledge of the incident, have told the BBC that Russian communications intercepted by the RAF RC-135 Rivet Joint aircraft give a very different account from the official version.",BBC learns that a Russian pilot attempted to shoot down a British surveillance plane. Jonathan Beal: The Kremlin blamed the incident on a technical malfunction. He says nobody here wanted an escalation because this isn't just Russia targeting NATO aircraft. Beal: It shows what the West calls the unprofessionalism of Russian air crws.,"{'rouge1': 0.32051282051282054, 'rouge2': 0.1038961038961039, 'rougeL': 0.23076923076923078, 'rougeLsum': 0.23076923076923078}","the British spy plane was there to suck up Russian intelligence and has been patrolling those areas since, uh, Russia's invasion of Ukraine is that it could have, you know, brought Russia into direct conflict with a NATO member if it had actually shot down that plane. thankfully that didn't happen and it's worth pointing out that, yes, the RAF, one of the few countries that does these man surveill missions over the Black Sea, but now they are escorted, those surveillance aircraft, by fighter jets. and, and, and you probably remember, earlier this year there was again the same type of Russian fighter that brought down a us uncrewed, a remotely piloted uh drone that was flying in the same vicinity in the Black Sea, doing, again, surveillance.","{'rouge1': 0.27350427350427353, 'rouge2': 0.02586206896551724, 'rougeL': 0.12820512820512822, 'rougeLsum': 0.12820512820512822}"
https://www.youtube.com/watch?v=XYDRuEQRTzE,"Libya floods leave more than 5,000 people dead - BBC News","More than 5,300 people have died after floods in the Libyan city of Derna, a local minister has said. The number could double, the minister for the eastern administration added. The floods burst two dams in the eastern coastal city and swept away homes. Streets are covered in mud and rubble and are littered with upturned vehicles.",The death toll from the floods in Libya is expected to climb as the crisis worsens. people are counting on bodies being recovered from parts of the city of dhana. infrastructure has been damaged and roads have been destroyed.,"{'rouge1': 0.268041237113402, 'rouge2': 0.0631578947368421, 'rougeL': 0.1443298969072165, 'rougeLsum': 0.1443298969072165}","so, basically, the owner is like, lies, you know, 250 kilometers away, uh, 250 000 kilometers away from, uh, the city of Benghazi, and it's surrounded by the, uh, by the, the amount of the Green Mountains and, and you know, when the storm happened, Apparently one of the big dams on top of the hill collapsed and the flooding caused another collapse of another, uh, you know Dam, and you know Bridges destroyed, Road destroyed. we don't know how many people would have moved far away from this scene in order to make themselves safe, and it would have necessitated a journey of a long way in order to make one safe in this scenario because of the extent of the flood water. well, we've already heard from the internationally recognized government in Western Libya that you know they've called on the area, as you know, um you know, in in an area, in a disaster Zone that needs International help, that they already, you know, mobilized all and and ready to mobilize all their capacities and personnels for the health needed. right now, the red International Red Cross Federation is on the ground, but I think, you know, in the coming hours and days, we'll need the city and the area will need more and more help from around the world to come in innocent job in Beirut.","{'rouge1': 0.1501706484641638, 'rouge2': 0.02749140893470791, 'rougeL': 0.10238907849829351, 'rougeLsum': 0.10238907849829351}"
https://www.youtube.com/watch?v=SRrgb8oxMxc,US and Vietnam elevate diplomatic ties as President Biden visits Hanoi,Hanoi and Washington have strengthened diplomatic ties as United States President Joe Biden starts his two-day visit to the country. It comes as Washington tries to bolster alliances in Southeast Asia amid souring relations with China.,President Joe Biden and I have jointly agreed to elevate the relation between Vietnam and the United States. The move puts the US on the same rank as China and Russia in Vietnam's a diplomatic relationships.,"{'rouge1': 0.35135135135135137, 'rouge2': 0.08333333333333333, 'rougeL': 0.18918918918918917, 'rougeLsum': 0.18918918918918917}","Vietnam is key to Washington's strategy of diversifying Supply chains away from China, and Vietnam also stands to benefit from stronger ties with the US as it seeks to cement its emerging role as a high-tech manufacturing Hub and also aims to reduce dependence on Russian arms for the longest time in Southeast Asia.","{'rouge1': 0.3010752688172043, 'rouge2': 0.04395604395604396, 'rougeL': 0.1935483870967742, 'rougeLsum': 0.1935483870967742}"
https://www.youtube.com/watch?v=Faj9EhkgBIY,South China Sea tensions: Confrontation between China and Philippines,"In the South China Sea, Chinese coastguard ships have attempted to deny Philippine vessels access to Second Thomas Shoal island for the third time in five weeks. The Philippine coastguards were escorting civilian boats carrying supplies for troops stationed on the disputed territory.",Al Jazeera is a special correspondent for Al Jazeera in the south of China Sea. She shadowed Chinese vessels as they approached the second Thomas Shoal. The two sides are in a standoff over who will be allowed to enter the South China Sea.,"{'rouge1': 0.367816091954023, 'rouge2': 0.1411764705882353, 'rougeL': 0.29885057471264365, 'rougeLsum': 0.29885057471264365}","but China claims sovereignty over nearly the entire south of China Sea and while Beijing says is committed to Peaceful dialogue, at the recently concluded asean Summit in Jakarta, Philippine president Ferdinand Marcos Jr said: actions speak louder than words. we cannot emphasize enough that actions, not words, should be the ultimate measure of our commitment to securing peace and stability in the South China Sea.","{'rouge1': 0.2201834862385321, 'rouge2': 0.07476635514018691, 'rougeL': 0.16513761467889906, 'rougeLsum': 0.16513761467889906}"
https://www.youtube.com/watch?v=ULlGENlkMB8,UK accuses China of interfering in its democracy - BBC News,"Rishi Sunak has said he ""will not accept"" Chinese interference in the UK's democracy, after it emerged a parliamentary researcher was arrested amid accusations he spied for China. In a statement to MPs, the PM said he told Chinese Premier Li Qiang at the recent G20 summit that any attempted spying ""will never be tolerated"". The Met Police confirmed on Saturday that two men were arrested under the Official Secrets Act in March. The researcher denies the allegations.",British prime minister Rishi sunak accused China of interfering in democracy. Mr Mason says the allegation is a fabrication and that it's not true. He says UK needs to recognize China is the largest threat to freedom and democracy.,"{'rouge1': 0.25210084033613445, 'rouge2': 0.017094017094017092, 'rougeL': 0.13445378151260504, 'rougeLsum': 0.13445378151260504}","the man was released on police bail in March, clearly not considered by the police either to be a flight risk or or a major security threat, and we just don't know what the charges are or what the evidence is, and and yet we have this enormous political um brouhaha going on amongst a group of MPS who are noted for their hostility to China. so Britain, as a small market and and a country that's seen largely as as a close Ally of the United States and security terms, I I think you know is is is not a, frankly, China's Prime concern and and the official reaction to these uh allegations. so I'm you know, I think it's, it's a very, it's a lot of very loud noise and, at the moment, not very much substance. we are deeply intertwined in terms of our supply chains, in terms of trade, as a result of policy pursued by this same government over over many decades, and so you know, it's all very well to say China is a threat and in some ways, China does threaten liberal, Democratic Values. but to rush in the opposite Direction without really developing the kind of sensible triage that we see, for example, in European commissions approach, where the the approach is to say: we will cooperate and trade where we can, we will confront where we must, and we do recognize that China is, you know, is in intrinsic the system. since Britain left the European Union, China is concerned with two Big Blocks, the European Union and the United States, and it is concerned largely with establishing its leadership in in the emerging economy.","{'rouge1': 0.1725067385444744, 'rouge2': 0.021680216802168025, 'rougeL': 0.09164420485175202, 'rougeLsum': 0.09164420485175202}"
https://www.youtube.com/watch?v=_pHglSTvgbI,The Russians leaving their country for Finland - BBC News,"Some Russian people are anxious to get out of the country because there has been a persistent rumour that President Vladimir Putin's government might soon introduce martial law to deal with demonstrations against the invasion of Ukraine. With flights to Europe halted, the only way out of the country is by car - crossing this border - or by train.",People in finland want to give up old neutrality and join the western alliance. there are rumors that president putin will soon introduce martial law. for russians coming to finland is an escape from the dangers of life there.,"{'rouge1': 0.32653061224489793, 'rouge2': 0.08333333333333333, 'rougeL': 0.28571428571428575, 'rougeLsum': 0.28571428571428575}","for russians coming to finland is an escape from the dangers of life there, but for people on this side of the border there's real fear that the tensions within russia could boil over and engulf finland itself.","{'rouge1': 0.26530612244897955, 'rouge2': 0.020833333333333332, 'rougeL': 0.12244897959183673, 'rougeLsum': 0.12244897959183673}"
https://www.youtube.com/watch?v=TfKSOIhLpNc,Soyuz rocket launches to take astronauts to International Space Station - BBC News,"A new crew is being taken to the International Space Station, on a joint Russian-US rocket which took off from Kazakhstan. The three members of Expedition 70 will relieve astronauts currently on the space station, and will remain there for six months to a year in the orbiting lab. The Soyuz MS-24 spacecraft launched from the Baikonur Cosmodrone in Kazakhstan.","Roscoe Cosmos soyuz ms-24 rocket will launch three astronauts to the International Space Station. They will then meet the ISS, the International Space Station, and dock at Rendezvous. BBC News: Launch was successful around the world and across the UK and up in space.","{'rouge1': 0.39252336448598124, 'rouge2': 0.15238095238095242, 'rougeL': 0.24299065420560745, 'rougeLsum': 0.24299065420560745}","three astronauts and NASA astronaut and two Roscoe- Roscoe Cosmos astronauts, cosmonauts, to the International Space Station where they will be docking soon after taking off. then we will see the three astronauts entering the ISS joining the Space Station's Expedition 69 crew.","{'rouge1': 0.339622641509434, 'rouge2': 0.1346153846153846, 'rougeL': 0.22641509433962262, 'rougeLsum': 0.22641509433962262}"
https://www.youtube.com/watch?v=2EimOYbvnnI,"Lampedusa: 7,000 migrants arrive on Italian island in three days - BBC News","7,000 people arrived on the Italian island of Lampedusa in small boats - in just three days. The island is home to only 6,000 people - and only has space for an additional 400. The Italian deputy prime minister has described the situation as an ""act of war"".","124 000 migrants have landed in Italy this year, up from 65 000 during same period last year. Deputy Prime Minister Mateo Salvini has been playing European anxieties on migration. He says there is no appetite in Europe to help Italy politically.","{'rouge1': 0.24444444444444444, 'rouge2': 0.045454545454545456, 'rougeL': 0.15555555555555556, 'rougeLsum': 0.15555555555555556}","um, actually it's kind of paradoxical that we are having this kind of discussion, but because just two months ago or three months ago, the European Union was witnessing what was defined as a historic agreement in the council to to review and to reform the internal Asylum system, but we know that it's kind of agreement is still on paper. I I don't think we we are going to towards a clash, uh, but of course, in Italy the tones and the rhetoric are are harshening, and we saw, and you uh shared with your audience, the words from from Mateo salvini, who's actually has been quite silent over the last year of migration grounds, and now he's toning up again. uh, over the last 10 years, I would say France has always complained about the leniency of the Italian authorities in dealing with so-called secondary movements, so the movement of those people entering Europe through Italy and then moving to other European countries like France, while under the doubling regulation there are value requests should be processed in Italy first. so, yeah, politically I think there will be consequences, but at the same time, I don't see we are going towards a a raptor in relations between Italy and the European Union, because prime minister Meloni has portrayed herself over the last year, since she took office, as a cooperative and reliable partner for the European Union. uh, for sure, since the agreement has been- the memorandum, sorry- has been signed, there has been actually an increase in the number of arrivals in Italy from Tunisia. this is something that's been going on for years and, in fact, no agreement has been possible in Europe on a major agreement really reforming the, the common European Asylum System since the migration crisis in 2015.. um, and probably one of the main causes, the internal situation in Tunisia, where policies introduced by the government discriminating uh, subsar and migrants presence or atrocities to the country, have been pushing many, many people out of the country and towards the Italian Shores.","{'rouge1': 0.12807881773399016, 'rouge2': 0.01485148514851485, 'rougeL': 0.08374384236453203, 'rougeLsum': 0.08374384236453203}"